BubbleSortWhileNeeded,BubbleSortUntilNoChange,QuickSortGPT,SelectionSortGPT
260060204,307484802,170953401,285651506
255968603,306204403,163258702,285771506
254447104,305379402,162328402,282748805
258231104,303040802,162719802,281907706
255695104,302702103,164386201,283990305
260797203,305298802,166931302,280697606
258331504,301981402,163303602,283195305
246097904,317631503,163011202,265318206
243660503,319540002,162280501,265612005
243779604,315414503,163575102,266849605
242952003,314687702,163119502,263363205
244479804,315745303,162827602,264411506
244815303,312987902,165915501,266439605
244592704,315573002,162557802,264667305
245912403,312926703,161837502,265887905
246450004,321206503,161498802,265095606
248797904,315791003,163943401,263563905
244580703,315086704,167590702,265509205
243460104,314386203,163291302,262962105
246363703,317248903,162320702,266102705
245179104,316223603,161654801,270882204
247738104,316937604,162319102,263806305
246224105,316064703,164554402,263513105
242847304,312418303,163821501,267455005
248672204,314604603,161256602,264078605
245004005,319182203,169456202,266224005
246011004,313914304,165144602,267484105
245032004,313697303,164136502,265568604
243780405,319437403,161893201,266700905
245388504,317678403,163425102,264033205
248021804,320931104,166358902,265950705
244494305,321141803,163540002,264312205
248064504,313653403,162771802,265877305
249879405,313469803,165808802,263690404
245986904,314186603,161595202,263954605
246842604,318776904,161926602,266590605
245106605,316966203,161996303,270213405
245483404,313878803,161395702,268681305
244482504,316413103,161408002,264814605
246246805,314232904,162182202,263926905
243540204,313835803,163600502,265110404
246432404,318145703,164506002,266742405
246340005,314314803,163186903,264573405
244606504,320451704,163826202,265154705
242936704,315556503,163817802,270037305
244745105,313000703,161282102,265366405
244629504,315237804,163491802,262153604
243327004,312939203,162685602,265243205
243398805,314199403,163448603,265761904
247193704,319422104,168926302,262477204
259290605,314920703,163153602,262044403
244105804,314556603,162339802,263360904
243870104,314719503,164176302,270238904
244709541,316844604,164203502,266865004
245175089,318689703,163958103,267394604
242902788,318350303,162559702,262883504
243280588,319872204,167107402,263045904
245263288,319670703,162352702,263045104
243076188,316280503,161398802,262193604
246286290,313858404,164321402,264505803
246973989,314752803,168222403,265138604
242797788,318990303,167749402,264776004
245634289,316705004,165432302,267328004
247161389,315121103,163863102,266347504
245418089,317422003,165126902,265678904
245414289,314682703,164941003,266077904
245895989,313873304,167463602,266245504
248003590,315979403,163956602,264992504
246071345,312670704,161953502,268427104
243163601,319214003,169143602,264261403
245887400,317193803,161670703,263337604
246572801,315183204,164067602,267075304
245740601,312293203,161497502,266898004
243061400,314978603,162860902,263840404
247151801,319791504,162213902,263660704
244847801,319828103,163219802,262356204
249993801,315123804,162212702,268375704
243896200,315892503,164355303,267487103
243352601,313617303,164044602,265538797
245561301,318567204,162012202,268189797
247340100,315335403,164883003,265156397
242668001,319301104,164885603,262542597
247155001,321012503,164441904,264452598
246491700,317589003,163914203,265527697
246704801,312251104,161665303,266163697
251301401,317929703,167378203,265506897
246338201,316038704,162019503,269242198
244575202,313562303,162505004,266086597
243164502,314612403,161749803,264606097
244363602,320271804,161296703,264347097
243490502,317109603,163340803,266057598
243638102,315412904,163867504,262660097
246286902,314131803,165237803,268166097
246471902,314194403,162907203,265008997
245642701,313405104,164445303,267804497
245458102,317282803,165270003,266425098
244342802,318027503,162342004,264412997
246603902,318287904,163791403,265841097
247613602,313600603,161497903,264689997
244499302,317796204,161272703,264060598
