BubbleSortWhileNeeded,BubbleSortUntilNoChange,QuickSortGPT,SelectionSortGPT
47800,48700,352649400,225382399
48300,48700,350188900,229608700
55400,49100,347616300,225716600
48000,49300,371413399,231626500
48300,48800,345839700,225157700
47700,59700,347853100,223772400
48000,48700,354283300,225384300
47900,49000,351370500,224536401
47900,48800,346811400,226477400
47800,48700,355252401,225099300
47700,48800,348767500,233740100
47800,48700,352340100,232292400
48100,48800,374620700,231978500
47700,48800,350275400,227324699
47900,48800,347407799,225228000
48300,48900,348375599,227523799
47900,48900,373916198,235782099
47600,48800,345000000,224660500
47600,48700,342634199,222811600
47800,48800,343000401,224931900
47700,48700,342183900,224158600
47700,48800,342478803,223022002
47700,48700,343607602,222641202
48100,48700,343050402,221537602
48900,48900,347983210,222459207
47800,48800,345494410,223541307
48000,48800,345458702,225888202
48100,48700,345371803,222574801
48100,48800,353267502,224388101
47700,48800,344245401,224027602
48500,49000,346719001,222139501
47700,55900,342976801,221760600
58000,48800,342261900,229465101
47700,48700,341297401,221288701
47900,48900,352486201,226070500
47700,48800,343075101,245173300
47800,48900,349069000,232501600
47800,49100,343700000,221308800
48200,48800,342506899,223306100
47600,48700,341451399,221939300
53800,48900,344738700,222881500
47800,48700,342194300,221482800
47600,48700,344149298,221497998
47900,48900,342570698,220575199
47900,48800,343647396,223246598
47600,48900,342201296,222106298
47600,48800,344588097,222137599
47600,48700,342941897,220486799
47600,48700,342448897,227348699
47700,48800,344614300,220800000
47700,49100,342504800,221036300
47700,48800,343046900,220680299
47700,48800,343329500,221371900
47600,48800,343021999,222075800
58400,49000,342647499,223968500
48100,48700,341278999,252783701
73100,49000,342254301,220737300
47700,48800,349093000,227812300
47800,48700,344565600,225695800
47600,58600,348150600,223238201
89300,48900,343181200,220516000
48000,238600,342371001,222342000
48000,48800,344657000,224618400
48100,48800,344019100,221643400
47600,48700,344897000,224118701
47600,48800,343966795,223530296
48400,49200,354936294,228633196
48400,49200,342329799,223123699
48100,49100,346025398,227374899
47600,48700,343395800,221940901
47600,48700,341460300,231015200
48000,48800,346872391,225513594
47600,48700,343726691,223886894
47700,48900,342044491,224214095
47600,48700,341706998,221414798
75900,78400,342488397,221598399
47700,48800,343746202,223513302
48000,49000,343055802,221748502
48100,48700,342307509,222934406
47800,48700,342487409,221565706
48100,49000,343497110,224511606
47800,48800,343186909,220505106
47800,48600,343176809,221857306
47800,48800,345533901,224348701
48000,48700,344037101,221641201
54100,74400,342443201,229138201
47700,48800,343245901,222157301
47700,48800,345659500,221435801
47800,48700,342606601,221290700
48900,49900,342674301,221455100
47700,48700,350837700,222537201
47700,48800,341673201,220638900
48600,49100,344484901,220804400
47600,48800,344777701,220617201
47700,48700,341610201,222342001
47800,57200,343291701,223618301
47700,48700,344167902,221922201
47800,48900,343008701,223446901
47700,48700,341770702,220542401
48200,49000,371761601,244852801
