BubbleSortWhileNeeded,BubbleSortUntilNoChange,QuickSortGPT,SelectionSortGPT
48400,48800,348530900,224496401
47800,49100,355064701,228006200
48200,48900,352025801,231296100
47900,48700,394554301,228738000
47800,48700,349639701,225819800
47700,48900,353975101,224056001
48100,48900,347215901,223884700
47800,48700,353336001,221815600
48100,48700,349766190,224544393
48100,49100,346004989,225535394
49900,49100,350449590,222778093
47700,48800,347372990,225653393
47700,48900,353042489,224245094
48100,49000,347854099,226983299
47800,48700,350728100,223069699
48200,60200,352229600,223637699
47600,62100,352526899,234826100
56000,48900,350319000,236814300
47900,48900,353137600,226345701
47800,48800,354450901,240659000
47700,48800,346988101,224414700
47800,48700,348277400,223274101
47900,48900,350187700,225463800
47600,48800,347785500,226288000
47800,48700,355085700,226256100
48400,49000,350562600,227205800
47700,48700,349327600,224242499
47700,48700,348328597,223034198
71200,48900,350711198,225886398
48000,49000,360751597,223792798
47800,48800,350472998,225314798
48100,49200,347566098,226434698
47600,48700,348663797,226242399
47800,48700,347719197,223349699
48100,48900,351754897,223943599
47700,48800,364646397,229788498
48100,48800,354548896,227549097
47900,48800,350974895,224987898
47800,48900,356076196,227240197
47800,72000,357712496,247999597
49400,49800,358448100,225575900
48200,48900,364526300,241174000
48100,48700,355576100,229426100
48200,49100,352395100,223338800
49100,48900,361911800,228077800
48700,49000,357014601,235431701
48200,48900,354174101,224783301
47800,48600,357823801,226305801
78100,49300,354173702,229605500
47800,48700,355128900,228280200
47900,48600,357378401,226632600
47800,48800,358202900,228219301
47700,48800,368254600,244558700
48100,48800,357820601,229327000
47700,48800,351881401,230231701
48500,49600,360889001,233683901
47900,70500,351685001,225575501
47800,48800,381594201,225708001
47700,48700,355920502,224378701
48000,49200,353847901,230402001
47800,48700,361076402,227905601
48100,48900,351846102,229221001
48200,48800,356053802,228487702
48100,60100,360297406,232290604
47900,48900,350712506,233435704
48300,48800,364313606,228157304
48100,48900,364056006,230667404
48200,48800,367418702,228930701
64500,48900,350114801,230333101
48100,48800,351456602,224152101
47900,110500,351356102,224397101
48300,49200,363075701,225561501
47800,48700,362319901,226838000
47800,48900,347870401,225661000
47600,48800,389880101,246515101
47900,48800,351878601,224886601
49200,49300,349121600,225006201
48000,48700,349731901,226430000
47900,48800,352375000,226344100
47700,48600,349107400,223644600
47700,48700,379932000,239948001
48300,49000,350192601,226539900
47900,49100,348880600,225367400
47600,48800,350155700,225333301
48100,49200,353700601,225415900
47800,48700,353054902,268939301
47800,48800,353881501,224676401
48100,48700,352454101,226245001
47900,48700,352493902,224097901
47800,62400,352051101,225958401
47700,48700,350775200,226495300
54500,48800,353048100,224249600
61000,49000,353430000,235001400
48700,49400,352217001,224518500
48100,48700,353490001,224206200
47600,48700,360622900,228612801
48200,48800,349161600,229495000
48200,49700,367665300,230010500
48100,50000,352121200,225157200
48100,48800,348729999,227183700
