BubbleSortWhileNeeded,BubbleSortUntilNoChange,QuickSortGPT,SelectionSortGPT
2762400,3310200,1699900,2854900
2804000,3296900,1691400,3023100
2673500,3238100,1702900,2940300
2774100,3243000,1718500,2929500
2622700,3232800,1713100,2926600
2614900,3277300,1692300,2856900
2645200,3575200,1698800,2845600
2619700,3259800,1722600,2865300
2745500,3273200,1711200,2862700
2664600,3355500,1692400,3302901
2628400,3412400,1694800,2867500
2636200,3229900,1699000,2889600
2624300,3593100,1831400,3220500
2617000,3302100,1850000,3053700
2624800,3289400,1736900,3536000
2939000,3246600,1737300,2950000
4401700,3244500,1736100,3965000
2654900,3263100,2072200,2913900
2709000,3375500,1876900,3016000
2646600,3262800,1704800,3035900
2658200,3253500,1692500,2895800
2663200,3410300,1711400,2859700
2681900,3409600,1876100,2873400
2726500,3401100,1758000,3042200
2680400,3227200,1716800,2875700
2647000,3344200,1704500,2886400
2624500,3248400,1699600,3056300
2610300,3247100,1721000,2882200
2626200,3558000,1709700,2872200
2663000,3317100,1718900,2861800
2640700,3234000,1718800,2890000
2633500,3236400,1715700,2861500
2938700,3434700,1723800,2852900
2684700,3593700,1708200,2847800
2644000,3245800,1720400,2869800
2828000,3237100,1706400,2867500
2672400,3219900,1796200,2926400
2680800,3220000,1717300,2858200
2747200,3262900,1695100,2863900
2696100,3232000,1706500,2860800
2639800,3223900,1708000,2962800
2631100,3240300,1721700,2883700
2635200,3339500,1701300,2860100
2765900,3221000,1714900,2894800
2638300,3257200,1733300,3151400
2663900,3219100,1730700,2901700
2738000,3410400,1719500,2875700
2710200,3380400,1734300,2903700
2620900,3312000,1700800,2856200
2801900,3338500,1704300,2902500
3008600,3380800,1864000,3493400
2618700,3251500,1742400,2886000
2626900,3276900,1737900,2861100
2765300,3231800,1860700,2910700
2642600,3260900,1729100,2882300
2641300,3251300,1707300,2901900
2859500,3343200,1767300,2958400
2641600,3259700,1743400,3432600
2643900,3310600,1746000,2850200
3216800,3252000,1706600,2876000
2814800,3295300,1774300,2864700
2640700,3213500,1717100,2860300
2714000,3231300,1704600,2866000
2741800,3221900,1740400,2850800
2664600,3263600,1732000,2998800
2616900,3223900,1697400,2869600
2664500,3239400,1697000,2867200
2614000,3256100,1693900,2954300
2617300,3241100,1718100,2884200
3009300,3349000,1725000,2907400
2635300,3330100,1703400,2884900
2685000,3301400,1702300,3043200
2645100,3259600,1720300,2850900
3405500,3261200,1703000,2895600
2682500,3238000,1705500,3052300
2660400,3225600,1733100,2961700
2639600,3400800,1723700,2883100
2881300,3226200,1710800,2915700
2621400,3244900,1704100,2900300
2626700,3251700,1717400,2910600
2636000,3721500,1730900,2911700
3314200,3273500,1739800,3129400
2839100,3446900,1710100,3112000
2678700,3262900,1721800,2967300
2793300,3254700,1705500,2872400
3040100,3594600,1690900,3034600
2654300,3282400,1726000,3086800
2831000,3502700,1741500,3115300
2697700,3276100,1787100,2860900
2640400,3224100,1760100,2884200
2761400,3219500,1696500,2888900
2628000,3222600,1699200,2923300
2628900,3234700,1721400,2892700
2667100,3266900,1733400,2901200
2613300,3310000,1710200,2885400
2626100,3238900,1715700,2866300
2618000,3331500,1820200,2874100
2635700,3272700,1695800,2932500
2653900,3274500,1705300,2889200
2760400,3226000,1728400,2865400
