BubbleSortWhileNeeded,BubbleSortUntilNoChange,QuickSortGPT,SelectionSortGPT
237694600,373756600,36545700,95531100
226970600,370948500,9837900,89154800
228818600,373251100,10043000,89196600
226831600,370955800,9809500,90095600
226313200,366497299,10009300,88855501
226229500,372609000,9838000,88762300
228845500,372942200,9917101,88812300
228051000,371408000,9829400,90555900
267428100,366930899,9820900,57951700
265488300,367584100,10109000,55768600
265182199,364996100,10048300,56602900
268394600,365669799,9868200,55944600
262394100,362713600,9878700,55968900
266903000,367109900,9836900,57874300
268798700,368903999,11028700,55691401
263016801,364139100,10308100,57901100
270633000,366511000,10490400,56167500
263375300,362327499,9814100,56758200
264977600,367889300,10343700,55673700
264893600,367907200,10487100,57199300
263801400,364771899,9848200,56721200
271236600,364410400,9839900,57465200
266910100,366539000,9820800,56534100
262206100,366551299,9831700,56120500
267932800,363965100,10117400,57555000
265730900,371292501,9812500,56056001
266927500,368593400,9912800,56068500
264669100,371219700,9802200,55864300
267677100,364432600,9828900,57619500
268548300,368050700,9826800,57261100
269261300,372718800,9915400,55980200
263987601,365105900,9810600,56169200
266857500,366070600,10047600,55731100
263616800,366397400,9863500,57208200
261558300,366720100,10690500,56361700
262104000,366124400,9853100,56051700
264617200,366487400,10364800,56148100
264241700,371013600,10071700,57102301
266676600,365370700,10840700,56587700
266683500,366585000,10223700,55940600
267084400,363574200,10369300,56127800
265413200,363492900,10069200,55998800
264046800,366083100,10025500,57898000
261386000,366088800,10151000,55957500
266905600,363433400,10123100,58058800
270941700,366069000,9830900,56137500
266553699,363893300,9832400,56258400
266711600,371514699,10167200,56188500
269308400,364475000,9954100,56205400
264666800,367339199,10209700,55864701
265085800,364976700,10027400,56063800
264919400,367223199,10127600,55986200
263621199,365919100,9828100,58598101
263855100,365206299,9939300,55803001
266898500,367798600,9819000,56655301
266107100,367831699,9942300,55955201
265690600,361249600,9867900,55709000
262575899,365476199,9954000,55734301
265616200,365452300,9931200,56906501
266867100,363096499,9809000,58875901
264001000,367209900,9928500,56829801
262736700,363891499,9940800,57075201
265868500,371683900,9913600,57316600
264519199,367546099,9985000,58627901
264496100,361794400,9843900,57732601
262534900,367465099,10024500,56149801
266574900,365079400,10023900,56074601
263060400,364302700,9842700,57460301
262279500,368428200,9884600,56419900
265063299,366182001,9910900,56208401
266451700,370369200,9847300,55927201
274604300,361632001,9924300,56330401
264842600,366944100,9814500,55760301
269827700,363598301,9898301,55740900
261824100,362925300,9898800,56169301
264320800,365346901,10274600,56023301
267679200,363599201,10768500,55770501
265721600,370676600,10847700,58983701
262173800,364587501,10401700,56748001
266219100,361864000,10577200,57597800
267784000,362356901,10751900,57306501
264284900,362332700,9860400,56490101
262521600,370119601,10117700,59262601
265147700,373814401,9807200,56730601
268164200,364252200,9923800,56566201
267190800,369971701,9819800,55968500
269260400,362409700,9873100,57392701
267286700,363124901,9829500,56283301
266743700,364125300,9935800,58220401
261140000,367338001,9832700,56914001
266236000,364603600,10233000,55870300
269746700,365741001,9798400,56083001
265580200,368795701,9903800,58598801
262448000,363462200,9810300,55688101
265430500,363884801,9821200,57809901
268833400,367029700,9902500,57425401
264236100,365358501,9922300,57774400
263454799,367897100,10919600,56420101
268439000,361384301,9940100,58744101
265890400,364271200,9884900,56152401
