BubbleSortWhileNeeded,BubbleSortUntilNoChange,QuickSortGPT,SelectionSortGPT
49200,317900,340189300,226443701
49900,49100,326574700,224363800
49900,48800,323990101,230679700
71800,51000,331649501,229788900
48800,48900,354774501,230527000
49700,48900,360687001,228404200
50100,49000,360304100,235187701
48900,48900,350813401,226424300
49300,49500,371061801,231810901
48600,49000,355314789,225879094
49000,48900,356160290,225523693
49700,48900,360428189,226055493
50200,48900,354464089,225741394
52000,49100,357145799,225911200
52800,49800,372578700,226698999
49300,49200,355592400,227362799
51900,49400,368158300,232485199
72600,51700,365430699,228963400
49900,48900,354668501,228429600
54600,50800,369666400,229511400
87000,50000,372437201,230814900
49500,48900,353534900,226033901
64200,49100,354271400,234510901
49300,55600,357561700,231020300
50200,48900,351094100,225619500
48700,48900,359534801,230563600
49600,49400,353160900,226344300
48900,49000,352765997,226678899
58800,49400,369052597,228866798
73000,49200,359593698,234269898
48800,48900,357938497,225834498
49000,49000,351932697,225098398
49500,49000,350330898,227212298
49900,49100,356018198,227583898
48600,49000,354993898,227685298
50000,49100,361019297,228956799
61600,49200,368979696,232891497
50400,49800,355404496,228038598
50500,48900,351792796,229826697
50400,49200,355308396,234222297
49400,61900,353463896,237448299
219700,119300,352424900,231933200
65100,49100,352673299,229221700
48900,48900,362001200,230798300
50000,49200,351963300,233255800
56300,49500,361972401,230353301
122800,144400,370901501,238626501
58200,50000,362826601,233928701
49800,49000,380033202,228993700
51300,49300,360529901,231116401
71600,51700,378312300,249923400
49200,48900,363966000,231266600
49700,48900,434187200,266099801
49500,49000,362854600,229197200
51200,49400,357657301,234686100
50400,100900,359961801,229312900
48400,49100,363811801,235126500
72200,50900,373466101,260354100
50300,48900,367854401,231045201
63800,55000,368515902,235445601
49100,49100,362049602,232967201
49100,49200,360380102,234535101
60800,49200,355794201,230091501
48900,49100,371177706,234047304
50100,48900,375837606,231802004
50200,49101,358201205,253260205
49500,49300,368656806,244052704
57300,51000,362124403,231749701
62200,61700,354023301,229042002
50100,48700,356016502,230535701
49600,49200,359084902,230762201
62900,49000,357444901,244429802
49000,49300,359233201,234476901
50700,49400,359165900,231295401
56700,49800,358924501,235136500
67300,49800,357082501,230287000
49400,49100,364699101,231373200
49700,49100,357521600,235234700
58200,49300,359854000,230619301
48800,48800,357961800,229250401
49200,48800,389664101,241185800
68500,51300,391300800,243377900
68700,133600,362234400,227824001
53200,49600,357379301,230002500
49200,49000,356402201,229186500
56600,49200,366740701,241309000
68700,51200,358134101,231087201
58200,49000,355506601,228674201
49700,49000,358554302,229141200
48900,48900,362000301,235732201
52200,50700,353135501,231888900
48800,49000,353819600,231067301
54500,49500,353706200,229813401
81700,49700,355185300,227858600
49400,49000,359149000,230097700
49200,48900,361799701,225184900
48500,49000,365129301,228503800
48800,48800,357540000,227806401
49700,56500,362370700,231098501
49500,60500,363444300,228851100
