BubbleSortWhileNeeded,BubbleSortUntilNoChange,QuickSortGPT,SelectionSortGPT
3078500,5951400,3096400,2467000
3228800,5846600,2521000,2263400
3057900,5881000,2912500,2429700
3340500,6135700,2662800,2259600
4382800,6065400,2663500,2289400
3524500,7454800,4483000,2526400
3595900,6718400,2798200,3595000
3388300,7335400,4654000,2293800
4294900,6377800,3228800,2386400
3902400,6654501,5093200,4965500
3565500,17172800,2888200,2355201
3452500,8824800,3976200,2346100
3455100,11648500,2705600,2300600
4915200,6724000,2795400,2413101
3454400,6296100,2759500,6987900
4353300,8356501,2796900,2342000
3488100,7533500,2794300,2427000
5177001,7754800,2927500,2322900
3403600,6097000,2669800,2745700
3623700,6957500,4073800,2488500
3429400,6436300,2879600,2294600
3957200,6942400,2899600,2329400
3896700,6084200,2771700,2377300
3421300,6466900,2702100,2389900
3427200,6847900,2823800,2361200
3479501,6223900,2740700,2255300
4265200,6196100,2658500,2461300
3386100,6245401,2774100,2390200
3338000,7087900,3471100,2291000
3820200,6256501,2654300,2304700
3798800,6408900,2918500,2276900
4063300,6265500,2782101,2549700
3363600,6419800,2851300,2274500
3371800,6215200,2730201,2291700
3903000,6138700,2652200,2269200
4773600,6189500,2962900,3447601
3377500,6089700,2785500,2273700
3837000,6368900,2656900,2351100
3408000,6211200,2740000,2322600
3455700,6431700,2706500,2302300
4115700,6527300,3004700,2498100
3419700,6247400,2696400,2284300
13564600,6312100,2706600,2486300
3303400,6141700,7372900,4068000
6028000,6449801,2806400,3047900
4202400,6792800,2878200,2350600
3407400,7205601,2994700,2966600
3451300,6104600,2647500,2280400
5110100,6081401,2716200,2449100
3377400,6503300,3156300,2581800
3355300,6905501,2769200,2331000
3457100,6202100,2826000,2298000
3480900,6132201,2700500,2290000
3687400,6133700,2742000,2338200
3453200,6772000,3313001,2434200
3348600,6219300,2726900,2294300
3877200,6374300,3027600,2286800
4217900,6811000,3262800,2447000
3405200,6424500,2878301,2584100
4550800,6205800,2706100,2275200
3837400,6156200,2676300,2348901
3398600,6089300,3311700,2659000
3357300,6236800,2824700,2292800
3606700,6410400,2712100,2259700
5632000,6200000,2682600,2323200
3985000,6587600,2741000,2353800
3362900,6415600,3039200,2468500
3397500,6812100,2918900,2286500
3436600,6174400,2705900,2279900
4228400,6867400,3081700,2541900
3313300,6375800,2790900,2312800
3362100,6387200,2664900,2254400
3330400,6177700,2720400,2279000
3664300,6048100,2672400,2338900
3887300,6000100,2635900,2278600
3350601,5975500,2665600,2510800
3319600,6014600,2694400,2329000
3322900,6238701,2749000,2300000
3413200,6507300,2725600,2246800
3346900,6592800,2713401,2270500
3501100,6138600,2716500,2265900
3854800,6036800,2642400,2259400
3488300,6135700,2642200,2276200
3415000,6165800,2679800,2534800
3376900,6077600,3881800,2386000
3492400,6220400,2709000,2328200
3457400,6759900,3165800,2261400
4657700,6132200,2654200,2281300
3419400,6172800,2925800,2324800
3346900,6068100,2901800,2710400
3477900,6037700,2797400,2271200
3535900,6881000,2656300,2276600
3454601,6501500,2645800,2432700
3380600,6021500,2690700,2295000
3565800,6094701,2733500,2862500
3629000,6019500,2726900,2313900
3986300,6709900,2718101,2646000
3424300,6194800,2766900,2247800
3830400,6037400,2804100,2275400
3510700,6182500,2751200,2307900
