BubbleSortWhileNeeded,BubbleSortUntilNoChange,QuickSortGPT,SelectionSortGPT
333774802,619649801,3934900,98482300
300998902,615247501,3686700,72844300
328600302,659229201,6822700,60004800
332665103,650528304,6130900,58322200
334350602,657106606,4481000,56780900
331820102,652452906,1880700,58330399
331173402,651875005,1187300,57157300
330604402,692133007,1120200,59221400
332766803,670933406,1100600,56824600
333539201,645322905,1098300,58469700
332227199,649148206,1084800,56786400
331517099,661298706,1084000,57508600
329038700,649503706,1114400,58443300
337576399,650926706,1086500,57883899
331720999,655465106,1088300,56954700
330147299,653916104,1084800,58799300
331537599,653541803,1095200,56725600
344315300,657354603,1099700,58869100
330852799,648637303,1211600,56884800
340291399,651030802,1091900,57578300
331649599,655115503,1086100,58272500
333610199,649214003,1089500,59367400
333307700,650251803,1204300,60887000
331203599,652434203,1086100,57555000
334661399,649549203,1146600,58293900
328886299,649199103,1128399,56864500
337285699,651204503,1087200,57003900
329463700,648962703,1103100,59036200
331492699,651153302,1085900,58634100
340570799,653894902,1092500,57730300
330356899,650493803,1093300,56953600
328623499,645014002,1105100,57462100
334103299,652835003,1086800,57251700
328002700,652894502,1084500,57110300
329714700,650549703,1097200,58092000
326998000,645847202,1096500,57490800
331336899,647063703,1428900,56843400
328084300,649213102,1114100,59447900
341847600,648706503,1085000,57615700
331380100,649132202,1085900,57641900
334895700,650215003,1084600,58102800
327106300,661831903,1083600,56599800
335407100,650641603,1104100,58610500
330795100,649246603,1113300,58134500
330890500,647408603,1086100,57148400
332867599,650696103,1102900,57712900
329506000,647109603,1091900,56896500
327427800,650836003,1088500,56962200
330792200,655081703,1089000,56988400
334724800,651030603,1139500,57288500
332179200,648446003,1090200,56913800
341903700,648883103,1099600,57612500
327621300,646399902,1086800,59250600
332657700,656925400,1090100,57194000
327890299,652295201,1084500,56673000
333151300,645819200,1172100,57665400
336370500,648570701,1090500,57766700
332771000,653267600,1087300,61119100
332834800,656116000,1086700,58349200
340206199,657348801,1084500,59240000
329359000,658180600,1094400,58055400
334995600,650203101,1145300,58488900
331555299,646728300,1130500,57953200
330793600,650112700,1087700,59334400
331879400,658684501,1092000,57344100
333371099,653544202,1085600,63656000
329019500,659706402,1086800,57816800
333641300,661204701,1090400,56837600
331370200,644737902,1127200,58205300
332215399,651381302,1102600,57933700
333224000,650385501,1086200,61057300
333942100,653300702,1094200,57690300
331669699,654960502,1088500,57166200
334090100,647690701,1097100,56978500
336175800,650528302,1129100,57257899
330788399,648326301,1085600,56995100
328445500,650567503,1106100,57126500
330809100,651206522,1160000,58252200
330717999,647274422,1115200,59003700
332344900,653943622,1100100,56935500
328341400,647984022,1104100,57018800
328147099,652370522,1089400,57454000
328278501,650082822,1084700,56896000
334214000,654622922,1088000,56810300
329595001,655114122,1086000,56950100
333525400,652498222,1091300,57678300
328202700,654912722,1087900,56606100
330270201,645454722,1103900,57028800
332515400,649798222,1086200,57055300
333787301,651946305,1104000,56968400
331488700,652578999,1086200,58111400
327360901,650150298,1097500,57696600
330196300,657433299,1113400,57368700
329413900,650191298,1115000,56702600
331520701,649937999,1087300,57901500
326382700,656435398,1091100,58811200
337029401,650056099,1098800,59381200
330336600,657171198,1091500,56758500
332085801,649653099,1084500,58094400
334103100,650607299,1178500,57458900
