BubbleSortWhileNeeded,BubbleSortUntilNoChange,QuickSortGPT,SelectionSortGPT
6846100,20220900,477900,4097000
16566600,6730600,174300,2525900
2400800,3991700,141100,12930100
2466400,4031700,147900,4444000
2536900,3948000,153200,810200
2367800,3955700,138900,787400
2413200,3922500,139700,759000
2400400,4002700,158000,762200
2375200,3938500,139300,757800
1940500,3960000,138400,762900
1927900,3928600,302900,589700
1933100,3934500,250900,592400
1908000,3942200,248900,611300
1910300,3936600,248000,594000
1910700,3957400,258400,591200
1912600,3959800,249200,586000
1921700,3943100,248200,610500
1921600,3946700,247900,592100
1921400,3936000,256800,585300
1997900,4045200,248600,590700
1921900,3954300,257100,585200
1933700,3940600,257800,590600
1917800,3964000,256800,591000
1926700,3987500,251100,585800
1937200,3980400,250600,599800
1915300,3917600,260000,585500
1932400,3974800,248900,646900
1920400,3982300,249800,595500
1918200,3980300,250300,607100
1914200,3987700,261800,592400
1936400,3939600,254400,585900
1938800,4010800,262000,591000
1934700,3975800,251100,585700
1931200,3947500,260700,596000
1925400,3969200,250800,602200
1936300,3938600,468900,586100
1928500,3931400,548000,591600
1920300,3982500,496700,585800
1929300,3913100,520700,591100
1924500,3929400,466500,591400
1929100,3964900,437500,585800
1920600,3941300,451800,604800
1928100,3926500,438100,586000
1915800,3937500,447100,590800
1927800,3956700,451000,591000
1915100,3966800,449000,600700
1915900,3937300,468000,596100
1918700,3950200,435000,585300
1925400,3965700,433800,590700
1916500,3959800,441100,590800
1914900,3917500,444400,586000
1928400,3951700,439900,590900
2018700,3973900,426200,585500
1914100,3936400,435900,592500
1913100,3928900,426300,591800
1921000,3957000,428300,585600
1926800,3983100,242900,590300
1923800,3987200,78700,585200
1917400,3916100,75300,590800
1929300,3996000,74200,594000
1991400,3975000,73600,590600
1910700,3925700,73100,590900
1956000,3923700,72800,620100
1918300,3987000,71900,593700
1935000,3941000,72200,586000
1921200,3950000,93300,591500
1918700,3956000,75600,613400
1941400,3936500,81800,586300
1915100,3935800,72100,591300
1923100,3937900,72300,585700
1939900,3926500,70600,591000
1932100,3957800,70100,595300
1923600,3930600,69600,585700
1956100,3921800,68500,590500
1958900,3931400,67700,585600
1910900,4041400,67600,590500
2081900,3955900,67200,591100
1991500,3964400,68700,585200
1953600,3951000,67700,590700
1948100,3990900,66300,602600
2066300,3958300,67200,592200
1904300,3951700,75900,591600
1933600,3942600,67500,585500
1921500,3937000,67200,591600
2247100,3962700,66400,590500
1914300,3989200,66800,590700
1902700,3993900,66400,592500
1907601,3979600,65800,588800
1934600,3910300,66300,594500
1914600,3981500,72300,586300
1913800,4011700,65700,662100
1916000,3947600,66100,606100
1924500,3949900,65800,585900
1942500,3925900,65800,590800
1923800,3923800,65600,585900
1926100,3933200,72200,590700
1919100,3926900,65900,607000
1911100,3940200,65900,595000
1935900,3936200,65800,594500
1917600,3928500,65700,589200
