BubbleSortWhileNeeded,BubbleSortUntilNoChange,QuickSortGPT,SelectionSortGPT
3149100,6161700,2573500,2289500
3332900,5920000,2517600,2424700
3500200,5936400,2517000,2283400
3155500,5928600,3108900,2386900
3168600,6099600,2510200,2279500
3197300,5827800,2544600,2291300
3306400,5884800,2542800,2280600
3190000,5858600,2530200,2452600
3169900,5818400,2484400,2286400
3242400,5957000,2690300,2274100
3215400,5855300,2501600,2255700
3242400,6186000,2570800,2269200
3267700,5929900,2728800,2281500
3212800,6006100,2509900,2359800
3124500,5824900,2508200,2309400
3195900,6205300,2565500,2357600
3167400,5871500,2498600,2456300
3363000,5859500,2489400,2318800
3141700,5903800,2623400,2303700
3139400,6190400,2545000,2463900
3385500,5847900,2516400,2274900
3245900,5947800,2555400,2286000
3141200,6082600,2670900,2279400
3130600,5924700,2567300,2278000
3220700,6506300,2609800,2257600
4030900,6442800,2504300,2362200
3799100,5957800,2535700,2253100
3200100,5871300,2557100,2269200
3157000,6036600,2642600,2307900
3317300,6088700,2600000,2437300
3518400,6368500,2679500,2409000
3299000,6916600,2488200,2573700
3136000,5988700,2497800,2294500
3288500,6516900,2507200,2273400
3160700,6068900,2552900,2263800
3492700,6211400,2630700,2356400
3498700,6259400,2633500,2254000
3590900,6478600,2633900,2317100
3531900,6120400,2632900,2379900
3451900,6123200,2661100,2430600
3421900,6258800,2721600,2899300
3417600,6230000,2792100,2289800
3419000,6115800,2688700,2377900
3424000,6274200,2698800,2292200
3429300,6283900,2777500,2272600
3462900,6776600,2731100,2306900
3465500,6081900,2688300,2395300
3439600,6080100,2673200,2269700
3410400,6178200,2675000,2271700
3445600,6106100,2699100,2307100
3413000,6278500,2764900,2785400
3422800,6187100,2657500,2346100
3487800,6888700,2674600,2538000
3575800,7032100,2639500,2303800
3493400,6107900,2720300,2684100
3418600,6153700,2716100,2357500
3435100,6203800,2744800,2408000
3564900,6125600,2712300,2306500
3410000,6109000,2737400,2263600
3501200,6278000,2828700,2292700
3472300,6284000,2723400,2313900
3517000,6214200,2652100,2313800
3533200,6155100,2686000,2257600
3633200,6444100,2660400,2262800
3642400,6191200,2639200,2264300
3466700,6164900,2679100,3462300
3452300,6102400,2710300,2434300
3427400,6220800,2699600,2306900
3477100,6316501,2686200,2314500
3422100,6164800,2960400,2279500
3429800,6524800,2768800,2270100
3468800,6075100,2663200,2310600
3640500,6065200,2666300,2267300
3510600,6147500,2632600,2296600
3417100,6134900,2685400,2385800
3590000,6298600,2747200,2273900
3750000,6276200,2631900,2284700
3461900,6886300,2672500,2310000
3869300,7474500,3019400,2454900
3521300,6179200,2642100,2359200
3447400,6435100,2637900,2438000
3448000,6155000,2763700,2501600
3679800,6197600,2643100,2320500
3423600,6176700,2656900,2307200
3409000,6225600,2666000,2284200
3425800,6258300,2884400,2262800
3664100,6650000,3033000,2428500
3489900,6077600,2708900,2275300
3425800,6527000,2658600,2299900
3451300,6484700,3184200,2339100
3560300,6386600,2749300,2376100
3535300,7009800,2801100,2531700
3440300,6092100,2676800,2288700
3477300,6071600,2652901,2328800
3413600,6104500,2691600,2280500
3416000,6220100,2675300,2318100
3863400,7124800,2962300,2305500
3551100,6214600,2659900,2271600
3481400,6970800,3049600,2331900
3604300,8227600,2735300,2282800
