BubbleSortWhileNeeded,BubbleSortUntilNoChange,QuickSortGPT,SelectionSortGPT
92900,26100,18773000,4215000
63000,24600,5120600,2574600
53700,31300,1748000,877200
27000,24700,1779400,2630500
26800,23900,1740200,368900
49300,23900,1737000,353400
49900,24300,1738000,335300
42200,23900,1845800,335100
27200,23900,1761400,340600
27500,24200,1751000,340300
27200,23800,1753000,342500
26700,23900,1740700,364600
26700,23900,1716700,335300
26700,23900,1719000,337000
26400,24000,1729200,343300
26400,23900,1836600,336800
26700,23900,1672200,337100
27000,30900,1564900,335400
29500,24700,1530100,335900
23400,23900,1683100,333200
23000,24000,1531600,338000
23100,24000,1527400,333600
23000,24100,1543400,333100
22900,23900,1594100,337400
23100,24000,1531100,333300
22900,37800,1536600,333200
23200,24400,1540200,339700
22800,24400,1596700,333200
22900,23900,1618200,333200
30400,24100,1600200,335900
23000,23900,1524700,343500
23200,24100,1527900,334400
22700,42400,1520500,338900
22800,24300,1529500,351200
22900,40000,1533500,331500
22800,44300,1524200,337000
22700,24300,1535800,333200
22800,45600,1527400,333100
22800,24400,1526500,335300
23200,46400,1523200,333100
22800,23900,1527500,333100
22800,52500,1536100,336700
22800,37700,1540500,333500
22800,45400,1524700,333000
22800,24300,1529800,336200
22800,24400,1519100,333100
22900,45100,1708200,333100
22800,32400,1702400,336300
22800,25400,1689800,333100
22800,24900,1694700,362200
22900,54600,1698800,418100
22700,38700,1692600,332600
23200,40600,1698800,339300
22800,24900,1723200,333300
22800,24600,1689400,333400
22900,24800,1708600,353400
23000,39300,1696500,333200
23000,24000,1702000,333200
22700,50700,1694400,336600
22800,24900,1751400,331200
44800,65300,1699100,333200
23700,24700,1692200,337400
22900,24100,1697400,352300
24900,23900,1717200,333300
24800,27100,1697400,338100
24300,26100,1697400,333300
24700,25800,1700400,333300
24500,25500,1695800,337200
31000,25300,1755300,336400
25200,26900,1698200,333200
44300,54600,1699300,337100
15000,84900,1710900,333700
13900,17100,1706000,333200
14800,30000,1696500,335800
14900,16300,1703300,333200
15500,16800,1693900,333100
15900,17300,1709600,337100
16500,17700,1698500,333200
16900,27100,1713600,333200
17300,19200,1689000,336900
17700,19700,1694200,333300
19000,12400,1711400,333100
19400,5300,1705900,336700
9300,5200,1695500,333200
5300,5200,1697200,333300
5400,5200,1691800,336800
6100,5300,1692700,333100
5200,5800,1706100,333100
5100,5200,1725200,335500
5100,5100,1690500,333300
5400,5100,1711400,337900
5400,5100,1703500,337000
5600,5200,1689300,338600
5400,5200,1698200,333200
5400,5200,1714900,338400
5200,5200,1689100,334500
5400,5400,1697200,333600
5400,5100,1697900,336600
5200,5200,1710100,333300
5400,5200,1690000,333200
