BubbleSortWhileNeeded,BubbleSortUntilNoChange,QuickSortGPT,SelectionSortGPT
321725404,407870307,183925104,308050908
287990007,354424309,172644404,303815608
299901407,370358005,175142501,308378302
290339402,360339502,177248501,298575301
288396202,357963000,172959000,296780201
288045200,361631501,175551500,299790500
289355301,355623192,174419697,299189894
287347894,355656493,173370896,297893894
287148694,358225499,173041999,296760199
290960299,361111899,172305099,296734099
300060699,368341498,173582199,299444499
305468098,365027498,178928699,303383198
293306098,371388397,173899999,302353697
287094897,357926298,174441999,319876097
288952598,356672199,172449100,303962199
288685799,358352199,172924499,296042999
300446798,358171197,181114998,296741797
291608697,360968597,174878698,304454197
289617499,359445798,172694600,299954098
298191698,371890099,174253599,304597499
291803000,361365699,176193500,305967900
294095399,358242700,171468299,295800800
290590501,361478701,174995101,299090501
290420801,358355701,174016301,297252901
287605601,359391000,172363901,299729500
288328700,361242001,173157600,302240001
289400102,357286502,173523501,294994102
287774801,359076102,174877801,298137802
288952600,355678499,173222199,295716199
295285399,359736499,172749800,296231299
294028599,357308399,173411800,297889799
295088900,361756598,172473900,298499199
313509000,369078500,177935200,303296899
288356800,360033799,171887700,298744800
286750303,357447703,173467601,297690403
289625002,360122303,172056102,296808303
300661506,368350007,176164803,302139206
291164906,363280407,173298403,310091106
303401705,364178807,177563403,327199406
293665606,357426606,175512703,299108506
293780400,365195901,174061700,297950101
289459501,358514700,173031301,295948200
293963400,370475501,183976100,305230500
290433000,360679200,175754800,301467901
294735402,362866701,172850201,302852801
301405201,377598402,178122201,319262201
292368300,357498600,172450199,295284800
288773699,358164500,174426900,302776200
290342799,356237700,174799499,297481000
294273299,358939000,173166499,298484100
297657897,374097096,182479899,305531896
294885997,356373397,171448498,298718597
291765900,365331300,175232800,300743800
287120800,377395200,181902600,311649400
295406899,361965998,174113099,298900699
288223399,357531998,174362700,298902398
304544598,363860198,175017398,308340798
291481598,362142197,173836199,303637598
291536898,361108897,173284499,297128597
293176698,363054097,176676798,296659898
287295700,365577099,189177400,312335599
287607199,358427199,173266200,296414299
294555899,360004798,173009499,299978798
294201798,363110798,171805699,300506799
288771300,358158899,173128800,294936500
288217400,385204399,183065600,310569300
292261700,360013199,171119100,300471400
292560300,361357800,173003800,301802200
288051400,356997199,172493199,296741799
290017799,359706799,172466499,296928899
289296800,358696299,172313199,298559000
288245499,358773999,173243900,297782999
293844100,358942599,173633500,297244600
290890599,359886200,172270900,295929200
288452097,357586296,175193698,295679597
291388597,359574297,173047698,297664197
290567196,361425895,173013297,297741996
296054196,362782195,170943098,298997295
290688698,355184497,173023298,297568598
310248297,375453997,173463999,307210497
291515599,357116998,172012300,298281798
293764899,358113298,172051799,297401499
297534499,367703298,175514599,301948998
290198699,366319298,180327699,297935599
288645899,362088399,176581800,304523199
295335399,364999099,174871100,299701700
286545401,357631101,173008000,297814501
289464501,356853401,172277801,299443406
295646608,363095211,179022905,296969708
291898508,354990510,176292105,296977812
291642312,363539516,174797807,297164613
293251613,363024515,185579004,327962503
294562402,360905603,172774202,296901002
289549102,356695805,174530004,296849006
292016606,359567207,172861403,302831806
289864806,357117308,176246604,299639306
291165607,358213508,172567204,296073306
298969907,374640003,174993601,306894502
289617201,359611402,172598801,297766602
289594002,354789000,173674601,302493400
