BubbleSortWhileNeeded,BubbleSortUntilNoChange,QuickSortGPT,SelectionSortGPT
5600,5100,3914800,2488700
5600,5000,3464300,2224500
5400,4900,3857000,2176500
5400,5200,3673000,2469800
6500,5300,3430100,2301300
6200,5000,3425100,2571600
6100,5000,3403200,2197500
6400,5000,3421800,2322500
5800,5200,3442100,2163100
5500,5000,3394000,2177500
5600,4900,3480100,2195700
5400,5200,3407400,2185400
5900,5000,3383500,2367500
5700,5000,3555900,2206000
5700,5000,3421900,2188100
5800,5000,3403400,2199300
5500,4900,3575800,2238400
5300,5000,3389000,2236900
6000,5300,3684800,2174200
5700,5100,3397200,2516500
5600,4900,3447300,2182300
5800,5100,3389500,3552300
5400,5100,3409100,2187900
5500,5000,3459900,2175800
6000,5000,3831200,2319000
6200,4900,3398700,2169300
5700,4900,3397700,2223200
5500,4900,3385200,2181800
5700,5100,3402600,2166100
5400,4900,3669300,2215200
5400,4900,3423700,2192100
5600,5000,3393200,2192800
5700,5100,3537500,2180300
5500,5000,3544200,2313100
5800,4900,3477800,2213100
5500,4900,3399300,2210700
5600,4900,3473500,2184900
6000,5300,3794400,2205600
5400,4900,3434500,3052600
5700,5100,3669800,2203100
6000,5000,3500400,2256300
5200,5300,3392300,2182000
5700,5100,3398900,2186600
6000,5100,3411200,2177400
5700,5000,3503700,2235800
5800,5000,3393700,2972200
5700,5100,3698800,2171600
6100,5200,3428400,2318900
5500,5000,3419200,2182400
5500,5000,3430400,2188500
5900,5000,3646700,2177600
31100,5000,3370800,2209800
5100,5200,3426600,2284800
5700,5000,3428100,2193800
5600,4900,3456400,2190300
5400,4900,3410100,2202800
5600,5100,3818600,2240000
5500,5000,3541500,2168900
5700,5200,3385600,2166100
5600,5100,3402500,2335600
5500,5000,3433300,2213900
5300,4900,3407100,2268500
5300,4900,3989900,2227800
5400,4900,3528300,2227300
5200,5100,3436300,2347700
5200,5200,3413700,2198900
6200,5800,3461300,2197000
6700,5100,3408200,2184700
5400,5000,3420000,2191400
5400,4900,3445400,2184900
5400,5000,3549200,2227500
5900,5000,3392700,2448600
5100,5100,3423400,2172600
5900,5200,3396300,2224900
5600,5100,3559200,2448300
6200,5100,3409400,2208000
5600,5300,4089400,2798800
5300,5100,3562400,2183800
5700,5300,3428500,2211600
5400,4900,3501900,2199300
5700,5000,3405600,2174000
6100,5100,3509301,2195100
5800,5000,3414300,2615500
5800,5000,3908700,2220200
5400,4900,3572500,2162700
5200,5100,3371700,2179300
5400,5100,3404200,2171000
5700,4900,3610100,2292700
5700,4900,3533900,2196400
5200,5100,4131300,2613100
5800,5200,3501100,2228900
5600,5100,3373700,2199500
5700,5100,3421000,2232100
5600,5000,3695900,2248500
5800,5000,3556800,2329400
5200,5100,3618900,2251000
5600,5100,3655700,2375100
5800,4900,3530100,2172700
5700,4900,3411700,2195800
5400,5000,3540500,2170300
