BubbleSortWhileNeeded,BubbleSortUntilNoChange,QuickSortGPT,SelectionSortGPT
324670599,612573600,265112899,239764800
326796100,604465499,260517800,237332299
355359400,637343499,278360900,236056100
355737499,638231000,286438400,239417300
365603300,640817000,284533200,242470200
357871100,636391700,276933100,239955000
355810300,634569400,282715500,237372800
354134600,636605001,279016000,237393300
355680300,638764300,276710801,238098200
356870400,650648601,297393900,245698700
354730400,639676500,276528701,237384300
363978401,648079501,283302400,250772000
425545601,780993301,292198700,253685600
368236299,662699999,317155499,241577799
354932100,638968598,281101600,251595399
355382399,642647998,278705699,240185799
360414398,641552398,314853298,252770199
377735399,698143698,291348000,259537999
351346200,631200099,276428300,235379300
349246500,630194000,277351199,233128400
353785401,627638500,274203601,244468000
350912501,626077800,275506501,233360100
349493402,625974305,293327002,234399102
350606903,638508705,277748602,235570402
352994507,631222718,275905108,244250307
355331410,639521318,278625508,237448407
353376310,631875218,278202403,240488302
355488302,631356204,276971902,237262502
349530703,633762304,275003202,234555601
394042202,657107304,275488101,241432502
352563602,628546603,273763401,233560702
347832200,630213402,279418900,237454601
348724601,622220101,275704101,241648800
371573801,635038201,272308501,234034300
349244400,628658302,275271400,234786301
349118501,632126001,276609601,243297000
378873500,632829701,276462200,237831801
356289201,655795901,276324600,234827700
346518900,616442200,273398999,237850800
349573600,616293800,269958099,232836600
347918600,621090200,269758300,233375900
350031900,618396800,272689800,236458200
348381000,619118998,270026198,232699298
348049198,621263196,272116898,232114999
348160698,616229696,271118698,232139598
351325597,617881594,270980997,233433797
349606297,621013194,273522197,232580797
346387297,618247996,272071998,232577798
350784997,617074096,272250298,234542398
346606999,625656300,273334100,232950499
348450000,619517200,270829799,232763500
346739500,626419699,280775300,234953600
346351600,614484800,274638700,234263899
347786099,617387600,269895500,233491800
346013899,619977099,271485800,232152799
346489599,617844099,272138600,237150999
345827700,615454800,271065400,231840001
347603600,625489900,270705701,233389500
352140800,621302001,271035400,237644800
350311201,630241100,275673900,234434901
353076200,627788401,275018900,237484500
350009000,623012201,278573200,236630300
370575400,625566700,275445300,233658200
353155601,647941700,275659200,234618100
347946101,630157100,275616700,237966200
353106095,624848590,275362395,233572496
357885194,632464490,274555895,233962596
356460194,627653990,276331498,236676300
350160398,624280098,277115099,239966299
365446699,661915198,286832399,241292099
351290300,624427900,274196001,238475700
364748401,638353200,277486900,233246301
384430891,652975083,275768893,234621794
353568091,628139985,276486693,235384894
350282094,628027896,273745198,234691599
349277998,628509996,277971498,234958199
347318298,628791396,274937199,236870402
354510002,631106304,278053502,234659902
350818402,644250004,275608602,235554201
347980710,626146317,274598907,237781406
351180610,626084316,276030508,235635106
350642409,654280018,272616107,233792307
347565810,622295616,286459908,234332107
353520610,624106507,278005401,234658001
351599701,634247402,276558901,234178801
348251401,623456302,274821501,233640401
351033501,626978502,276932800,234341601
351170801,628707201,276082501,235455201
349491101,626593301,273942801,236378300
348886901,623856101,275229801,233886701
349345101,623359401,277363801,233950200
353445500,625971301,272759301,233209700
347421701,628717301,276453800,234834801
350077801,622876501,278425101,235086700
350000100,626056602,273395100,234870901
348434001,626836901,273255801,235579901
351120301,626504601,277927301,234456701
349652801,649092203,275230602,235701001
349434702,630956903,275022701,233316001
347278601,626871303,277933400,235484101
