BubbleSortWhileNeeded,BubbleSortUntilNoChange,QuickSortGPT,SelectionSortGPT
7300,5300,4425500,2445500
6000,5100,3545100,2343800
5900,5200,3272400,2415700
5500,5200,3236700,2298300
5600,5200,3707100,2282400
5500,5100,3424500,2294000
6300,5200,3417700,2267000
5600,5200,3297800,2308300
5700,5300,3228800,2249100
5500,5200,3200700,2461800
5700,5200,3229800,2247200
5400,5200,3229900,2301500
5500,5200,3587700,2274300
5600,5100,3371500,2343700
5600,5100,3588700,2249600
5400,5300,3407100,2377200
6700,5400,3453900,2285300
5600,5100,3511100,2368000
5600,5100,3642000,2242600
5700,5100,3525800,2283600
7300,5100,3580200,2263500
17800,5200,4176300,2254100
5600,5100,3500900,2422900
5600,5300,3556100,2284600
6000,5200,3462700,2419900
5900,5100,3745100,2299400
5800,5200,4189500,2252500
5700,5100,3533300,2556400
5900,5200,3515000,2260100
6100,5200,3443400,2577600
6000,5000,3503900,2342500
5500,5200,3657200,2313500
5900,5300,3508900,2688101
6300,5200,3515200,2268000
7400,5200,3614900,2354300
6100,5400,3536000,13310800
6000,5300,3499300,2395100
6100,5100,3466900,2249600
6000,5200,3551600,2293400
6200,5200,3463700,2368300
5500,5200,3594300,2281400
5600,5000,3492400,2318800
64400,19300,3791300,2297300
5800,5400,3571800,2248100
13800,5900,3476400,2269600
6300,5100,3423600,2269900
7600,5500,3542400,2256900
6000,5100,3418800,2265700
5500,5100,3451000,2238500
5600,5200,3499800,2256200
5700,5300,3421800,2247100
5700,5400,3404700,2267500
5700,5100,3421500,2235300
5400,5100,3673600,2296500
6400,5200,3516900,2238800
5300,5200,3422900,2296200
5500,5200,3409200,2245700
5400,5100,4155800,2476900
5500,5100,3444400,2301800
5500,5200,4801600,2285000
5400,5300,4125000,2281300
8900,5600,3575000,2498100
5700,5300,3464300,2256900
5600,5400,3413500,2264400
6000,5100,3472300,2277400
5700,5100,3414300,2244900
5100,5300,3486300,3252400
5200,5200,3539000,2350300
5400,5300,3506500,2296200
5900,5300,3486100,2575300
5700,5200,3406000,2249300
5900,5100,3454000,2291500
5800,5200,3445100,2304600
5600,5100,3633300,2336000
5600,5000,3707700,3050200
5700,5100,3963300,2247700
10400,5300,3500200,2305200
5700,5500,3486700,2288200
5500,5100,3585200,2281500
5100,5300,3400100,2437500
5500,5200,3486100,2488300
5700,5200,3422700,2281200
5800,5200,3488900,2245800
5400,5100,3403400,2249400
37600,5200,3731900,2281200
5600,5000,3412800,2317200
5500,5200,3495700,2308800
5900,5300,3420600,2698800
5600,5100,3914800,2646300
5600,5100,3493700,2346700
5600,5100,3561100,2294800
5900,5200,3605200,2266500
6100,5200,3443600,2316700
5800,5200,3456400,2267300
5900,5200,3436800,2364700
8000,5300,3433000,2260100
5500,5200,3447000,2313600
5600,5100,3426700,2239400
5500,5100,3515900,2292100
5800,14000,3410900,2286900
